question,answer
What are some of the things that this manual is designed to help the operator or service personnel with?,"Understand the controls and operation of the machine, point out possible hazardous situations, increase machine efficiency, prolong the service life of the machine, and reduce maintenance costs."
What should be done if you need the latest available information on the machine?,Contact a SANY dealer.
What documentation applies only to this machine?,This documentation package.
What are the items included in the documentation package?,"Operation and Maintenance Manual, Parts Manual, and Maintenance Log."
Where should a copy of the Operation and Maintenance Manual be stored?,In the machine or be accessible to the operator at all times.
What should be done with the Operation and Maintenance Manual when the machine is sold?,A copy of the manual must be provided to the new owner.
Who should be provided with a copy of the Operation and Maintenance Manual when servicing the machine?,Maintenance personnel.
What is the purpose of the Parts Manual?,To provide parts lists and matching drawings used for ordering spare parts as needed.
Who should have access to the Parts Manual?,All service personnel.
What is the purpose of the Maintenance Log?,To list regularly scheduled maintenance that should be performed by the operator or service personnel.
What is contained in the introduction of the manual?,"The introduction contains an overview of the manual, serial number information, and SANY contact information."
What is explained in the Safety section of the manual?,Hazard alerts used throughout the manual and general and product-specific safety information are provided in this section.
What can be found in the Machine Controls section?,An overview of controls and the operating systems is provided in this section.
"Where can detailed prestart checks, operating procedures, end-of-day checks, general operating instructions, and storage information be found?",This information can be found in the Machine Operation section of the manual.
What are the routine maintenance procedures and fluid specifications found in the manual?,They are found in the Maintenance section of the manual.
What information can be found in the Specifications section of the manual?,"General dimensions and weight of the machine, and systems/components performance information can be found in this section."
What are the primary uses of the SW405K wheel loader described in the text?,"It can be used for transferring and loading material, digging, leveling, carrying heavy loads, and removing ice and snow from road surfaces."
"Can optional equipment such as forks, scrapers, or different bucket types be attached to the SW405K wheel loader?","Yes, the wheel loader can be adapted with optional equipment."
Is SANY responsible for any consequences resulting from using the machine outside its specified range?,"No, SANY assumes no responsibility for any consequences caused by use outside this specified range."
What do the arrows in Figure 1-1 represent?,They indicate the moving direction when viewed from the operator seat.
What do the numbers in Figure 1-1 represent?,"The numbers 1, 2, 3, and 4 represent the front, right, back, and left directions, respectively."
What does the introduction section of this manual contain?,"The introduction section of this manual contains an overview of the manual, serial number information, and SANY contact information."
What are hazard alerts used for throughout the manual?,Hazard alerts are used throughout the manual to explain potential dangers and safety information.
What is provided in the machine controls section of this manual?,The machine controls section provides an overview of controls and operating systems for the SW405K Wheel Loader.
"Where can detailed prestart checks, operating procedures, end-of-day checks, general operating instructions, and storage information be found?",These can be found in the machine operation section of the manual.
What does the maintenance section cover in this manual?,The maintenance section covers routine maintenance procedures and fluid specifications.
"Where can general dimensions, weight, and systems/components performance information be found?",This information can be found in the specifications section of the manual.
What is the SW405K Wheel Loader primarily used for?,"The SW405K Wheel Loader is primarily used for transferring and loading material, and can also be used for digging, leveling, carrying heavy loads, and removing ice and snow from road surfaces."
What kind of optional equipment can be adapted with the SW405K Wheel Loader?,"The SW405K Wheel Loader can be adapted with optional equipment such as forks, scrapers, or different bucket types."
Who assumes no responsibility for any consequence caused by use outside the specified range of the SW405K Wheel Loader?,SANY assumes no responsibility for any consequence caused by use outside the specified range of the SW405K Wheel Loader.
"How are the front, right, back, and left directions indicated in this manual?","The front, right, back, and left directions indicate the moving direction when viewed from the operator seat, as shown in Figure 1-1 of the manual."
What does the Introduction section of this manual contain?,"An overview of this manual, serial number information, and SANY contact information."
What is explained in the Safety section of this manual?,Hazard alerts used throughout the manual and general and product-specific safety information.
What is provided in the Machine Controls section of this manual?,An overview of controls and the operating systems.
What is covered in the Machine Operation section of this manual?,"Detailed prestart checks, operating procedures, end-of-day checks, general operating instructions, and storage information."
What is covered in the Maintenance section of this manual?,Routine maintenance procedures and fluid specifications.
What is provided in the Specifications section of this manual?,"General dimensions and weight of the machine, and systems/components performance information."
What is the primary use of the SW405K wheel loader?,Transferring and loading material.
What are some other uses of the SW405K wheel loader?,"Digging, leveling, carrying heavy loads, and removing ice and snow from road surfaces."
Can a wheel loader be adapted with optional equipment?,"Yes, with forks, scrapers, or different bucket types."
Does SANY assume responsibility for any consequence caused by use outside the specified range?,"No, SANY assumes no responsibility."
"How are the directions (front, right, back, and left) indicated in this manual?",The directions indicate the moving direction when viewed from the operator seat.
Where are product identification plates located on the wheel loader?,Product identification plates are located in various places on the wheel loader.
Where is the machine identification plate located?,The machine identification plate is on the front left of the frame.
Where is the engine identification plate located?,The engine identification plate is on the lower left side of the engine.
Where is the transmission identification plate located?,The transmission identification plate is on the front left of the transmission.
Where is the axle identification plate located?,The axle identification plate is on the front left of the axle housing.
What information will be needed by a SANY dealer when ordering replacement parts or providing assistance with the machine?,A SANY dealer will need the model and serial numbers.
What are the product identification plates for?,The product identification plates list model and serial numbers that will be needed by a SANY dealer when ordering replacement parts or providing assistance with the machine.
How many product identification plates are mentioned in the text?,"There are five product identification plates mentioned in the text: machine, engine, transmission, axle, and SW405K Wheel Loader OMM."
Where is the machine identification plate located on a SW405K Wheel Loader?,The machine identification plate is on the front left of the frame. (Refer to figure 1-2)
What is the purpose of the product identification plates on a SW405K Wheel Loader?,The product identification plates list the model and serial numbers that will be needed by a SANY dealer when ordering replacement parts or providing assistance with the machine.
Where is the engine identification plate located on a SW405K Wheel Loader?,The engine identification plate is on the lower left side of the engine. (Refer to figure 1-3)
Where is the transmission identification plate located on a SW405K Wheel Loader?,The transmission identification plate is on the front left of the transmission. (Refer to figure 1-4)
Where is the axle identification plate located on a SW405K Wheel Loader?,The axle identification plate is on the front left of the axle housing. (Refer to figure 1-5)
Where are the product identification plates located?,On various places on the wheel loader.
What information do the product identification plates list?,Model and serial numbers.
Why are the model and serial numbers needed?,When ordering replacement parts or providing assistance with the machine.
Where is the machine identification plate located?,On the front left of the frame.
What is shown in Figure 1-2?,The machine identification plate.
Where is the engine identification plate located?,On the lower left side of the engine.
What is shown in Figure 1-3?,The engine identification plate.
Where is the transmission identification plate located?,On the front left of the transmission.
What is shown in Figure 1-4?,The transmission identification plate.
Where is the axle identification plate located?,On the front left of the axle housing.
What is shown in Figure 1-5?,The axle identification plate.
Where is the SANY contact information available?,At www.sanyamerica.com
What is the address of the SANY contact information?,"318 Cooper Circle, Peachtree City, GA 30269"
What is the phone number of SANY?,470-552-SANY (7269)
Where can you find a dealer for SANY?,At www.sanyamerica.com/find-a-dealer
What is the information recorded in the table provided?,"Product information related to the machine, including machine serial number, engine serial number, front axle serial number, rear axle serial number, transmission serial number, and hydraulic pump serial number."
What additional information is recorded in the table apart from the serial numbers?,"Dealer name, address, and phone number"
What is the website of SANY?,www.sanyamerica.com
What is the phone number of SANY?,470-552-SANY (7269)
How can I find a SANY dealer?,Go to www.sanyamerica.com/find-a-dealer
What information should be recorded in the table provided?,"The table is for recording product information related to the SW405K Wheel Loader, including the machine serial number, engine serial number, front axle serial number, rear axle serial number, transmission serial number, and hydraulic pump serial number. It also includes a space for recording the dealer name, address, and phone numbers."
Where is the SANY headquarters located?,"The SANY headquarters is located at 318 Cooper Circle, Peachtree City, GA 30269."
"What is the address of SANY in Peachtree City, GA?",318 Cooper Circle.
What is the website of SANY America?,www.sanyamerica.com.
How can you find a dealer for SANY products?,Go to www.sanyamerica.com/find-a-dealer.
What is the phone number of SANY America?,470-552-SANY (7269).
What information should be recorded in the table provided?,Product information related to this machine.
What are the columns in the table to record product information?,"Machine Serial No., Engine Serial No., Front Axle Serial No., Rear Axle Serial No., Transmission Serial No., Hydraulic Pump Serial No., Dealer Name, Address, and Phone Numbers."
What is the title of the document?,1-7 SW405K Wheel Loader OMMCorrection Request Form
What should you do if you find a problem with the manual?,"Make a copy of this page, complete the Correction Request Form, and send it to SANY."
What is the name of the form to report a problem?,Correction Request Form
"What information should you provide in the ""Date of This Notification"" field?",The date of the current notification
"What information should you provide in the ""Company Name"" field?",The name of your company
"What should you include in the ""Description of Problem"" field?","A description of the problem you found with the manual, such as wrong information, unclear or erroneous procedure, etc."
"What should you include in the ""Corrective Action Taken"" field?","If any, the corrective action taken to address the problem"
What is the purpose of reporting a problem with the manual?,To request corrections to the manual
Who should you send the completed form to?,SANY
What is the purpose of this document?,The purpose of this document is to be used as a form for reporting and requesting corrections for any problems found in a manual.
What is the first step in using this correction request form?,The first step is to make a copy of this page.
"What information should be filled out in the ""Correction Request Form"" section?","The date of this notification, the name of the person making the report, the company name, department, street address, city, state, and zip/postal code, phone number, and email should be filled out in this section."
"What additional information is required in the ""Machine Model and Serial No."" field?",The model and serial number of the machine related to the problem should be provided in this field.
"What kind of issues should be described in the ""Description of Problem"" section?","Any problem found in the manual, such as wrong information, unclear or erroneous procedure, should be described in this section."
"What information is requested in the ""Corrective Action Taken (if any)"" section?","If any corrective action has been taken to address the problem, it should be described in this section."
To whom should the completed form be sent?,The completed form should be sent to SANY.
What should you do if you find a problem with the manual?,"Make a copy of this page, complete the form below, and send it to SANY."
What is the name of the form to be completed?,Correction Request Form.
How many fields are there in the Correction Request Form?,9.
What is the first field in the Correction Request Form?,Date of This Notification.
What is the second field in the Correction Request Form?,Your Name.
What is the eighth field in the Correction Request Form?,Machine Model and Serial No.
What type of problem should you report in the Description of Problem field?,"Wrong information, unclear or erroneous procedure, etc."
What should you include in the Corrective Action Taken field?,Any corrective action taken (if any).
What does ANSI stand for?,American National Standards Institute
What is CCTV?,Closed-Circuit Television
What does DEF stand for?,Diesel Exhaust Fluid
What does DPF stand for?,Diesel Particulate Filter
What is DVR?,Digital Video Recorder
What does EAT stand for?,Exhaust After Treatment
What is ECM?,Engine Control Module
What does GPS stand for?,Global Positioning System
What are HEST?,High Exhaust System Temperatures
What does ISO stand for?,International Organization for Standardization
What does KD stand for?,Kickdown
What is LCD?,Liquid Crystal Display
What does OEM stand for?,Original Equipment Manufacturer
What does OSHA stand for?,Occupational Safety and Health Administration
What does PPE stand for?,Personal Protective Equipment
What does PQR stand for?,Procedure Qualification Report
What does ROPS stand for?,Rollover Protective Structure
What does SAE stand for?,Society of Automotive Engineers
What does SCA stand for?,Supplemental Coolant Additive
What does SCR stand for?,Selective Catalytic Reduction
What does SDS stand for?,Safety Data Sheet
What does WPS stand for?,Weld Procedure Specification
What is ANSI?,ANSI stands for American National Standards Institute.
What is CCTV?,CCTV stands for Closed-Circuit Television.
What is DEF?,DEF stands for Diesel Exhaust Fluid.
What is DPF?,DPF stands for Diesel Particulate Filter.
What is DVR?,DVR stands for Digital Video Recorder.
What is EAT?,EAT stands for Exhaust After Treatment.
What is ECM?,ECM stands for Engine Control Module.
What is GPS?,GPS stands for Global Positioning System.
What is HEST?,HEST stands for High Exhaust System Temperatures.
What is ISO?,ISO stands for International Organization for Standardization.
What is KD?,KD stands for Kickdown.
What is LCD?,LCD stands for Liquid Crystal Display.
What is OEM?,OEM stands for Original Equipment Manufacturer.
What is OSHA?,"OSHA stands for Occupational Safety and Health Administration. It is mentioned twice in the text, so I assumed you wanted two separate questions and answers for it."
What is PPE?,PPE stands for Personal Protective Equipment.
What is PQR?,PQR stands for Procedure Qualification Report.
What is ROPS?,ROPS stands for Rollover Protective Structure.
What is SAE?,SAE stands for Society of Automotive Engineers.
What is SCA?,SCA stands for Supplemental Coolant Additive.
What is SCR?,SCR stands for Selective Catalytic Reduction.
What is SDS?,SDS stands for Safety Data Sheet.
What is WPS?,WPS stands for Weld Procedure Specification.
What does ANSI stand for?,American National Standards Institute
What is the meaning of CCTV?,Closed-Circuit Television
What is DEF short for?,Diesel Exhaust Fluid
What does DPF stand for?,Diesel Particulate Filter
What is DVR an abbreviation for?,Digital Video Recorder
What does EAT stand for?,Exhaust After Treatment
What is ECM short for?,Engine Control Module
What does GPS stand for?,Global Positioning System
What is HEST an abbreviation for?,High Exhaust System Temperatures
What does ISO stand for?,International Organization for Standardization
What is KD an abbreviation for?,Kickdown
What does LCD stand for?,Liquid Crystal Display
What is OEM short for?,Original Equipment Manufacturer
What does OSHA stand for?,Occupational Safety and Health Administration
What is PPE an abbreviation for?,Personal Protective Equipment
What does PQR stand for?,Procedure Qualification Report
What is ROPS an abbreviation for?,Rollover Protective Structure
What does SAE stand for?,Society of Automotive Engineers
What is SCA an abbreviation for?,Supplemental Coolant Additive
What does SCR stand for?,Selective Catalytic Reduction
What is SDS an abbreviation for?,Safety Data Sheet
What does WPS stand for?,Weld Procedure Specification
What is the purpose of this safety section in the manual?,To provide detailed information on basic safety precautions and preventive measures to be followed during the operation and maintenance of the machine.
What is the purpose of hazard alerts in this manual?,"To alert operators, job supervisors, maintenance staff, and jobsite workers to hazardous operating practices and maintenance procedures."
What are the four ANSI/ISO signal words used to warn of potentially hazardous situations?,"DANGER, WARNING, CAUTION, and NOTICE."
What does the DANGER signal word indicate?,"A hazardous situation which, if not avoided, will result in death or serious injury."
What does the WARNING signal word indicate?,"A hazardous situation which, if not avoided, could result in death or serious injury."
What does the CAUTION signal word indicate?,"A hazardous situation which, if not avoided, could result in injury."
What is the purpose of the NOTICE symbol?,To address practices not related to personal injury.
Who is permitted to operate and/or work on the machine?,Only qualified personnel who have been specifically trained on this machine.
Must the seat belt be worn by the operator at all times?,Yes.
What should operators do if any operator aid is not working properly?,Stop all work immediately and report the issue to a SANY dealer.
"What is the purpose of reviewing local, state, and federal regulations and standards regarding the machine and its operation?",To ensure a thorough knowledge of all relevant work rules before operating the machine or performing maintenance on it.
What should operators do before starting the workday shift?,Inspect the maintenance log to ensure routine maintenance has been performed as stated in the manual.
What is the correct procedure for lowering the bucket or work equipment?,Lower it to the ground when not in use.
What should operators do before excavating?,Ensure all underground utilities have been marked.
What is the purpose of the safety information in this manual?,The purpose of the safety information in this manual is to provide basic safety precautions and preventive measures that should be followed during the operation and maintenance of the SW405K Wheel Loader.
What do hazard alerts in this manual do?,"Hazard alerts in this manual are used to alert operators, job supervisors, maintenance staff, and jobsite workers to hazardous operating practices and maintenance procedures."
What does the hazard-alert symbol represent?,The hazard-alert symbol is used to identify the hazard's degree of consequence if the message is ignored.
"What does the signal word ""DANGER"" indicate?","""DANGER"" indicates a hazardous situation which, if not avoided, will result in death or serious injury."
"What does the signal word ""WARNING"" indicate?","""WARNING"" indicates a hazardous situation which, if not avoided, could result in death or serious injury."
"What does the signal word ""CAUTION"" indicate?","""CAUTION"" indicates a hazardous situation which, if not avoided, could result in injury."
"What does the signal word ""NOTICE"" indicate?","""NOTICE"" is used to address practices not related to personal injury."
Who is allowed to operate and/or work on the SW405K Wheel Loader?,Only qualified personnel who have been specifically trained on this machine are permitted to operate and/or work on the SW405K Wheel Loader.
Why should the operator wear a seat belt at all times?,The seat belt must be worn by the operator at all times to ensure their safety in case of an accident.
What are operator aids designed to do?,"Operator aids such as warning lights, horns, or buzzers, along with displays on the monitors, are designed to alert the operator to potential problems."
What can sole reliance on operator aids lead to?,Sole reliance on operator aids in place of good operating practices can lead to an accident.
What should be done if any operator aid is not working properly?,Stop all work immediately if any operator aid is not working properly and report it to a SANY dealer.
What are accident prevention guidelines based on?,"Accident prevention guidelines, operating instructions, etc., are based on the intended usage of the machine."
What should be done before operating this machine?,Read and understand this manual and any accompanying manuals before operating this machine.
Where should the manual be kept while operating the machine?,The manual must be readily available to the operator at all times and must remain in the cab while the machine is in use.
Who should be familiar with the safe operating practices stated in this manual?,All personnel in the working area around the machine should be thoroughly familiar with the safe operating practices stated in this manual.
What should be reviewed before operating this machine?,"Review the local, state, and federal regulations and standards regarding this machine and its operation."
What should be checked before the start of each workday shift?,Inspect the maintenance log before the start of each workday shift and make sure routine maintenance has been performed as stated in this manual.
Who should be on the machine while it is in operation?,Only the operator should be on the machine while it is in operation.
What should be done with the bucket or work equipment when not in use?,Lower the bucket or work equipment to the ground when not in use.
What should be done before excavating?,Be sure all underground utilities have been marked before excavating.
What is the purpose of the General Safety section in the manual?,To provide detailed information on basic safety precautions and preventive measures during operation and maintenance of the machine.
What are hazard alerts used for in this manual?,"To alert operators, job supervisors, maintenance staff, and jobsite workers to hazardous operating practices and maintenance procedures."
What does the DANGER signal word indicate?,"A hazardous situation which, if not avoided, will result in death or serious injury."
What does the WARNING signal word indicate?,"A hazardous situation which, if not avoided, could result in death or serious injury."
What does the CAUTION signal word indicate?,"A hazardous situation which, if not avoided, could result in injury."
What does the NOTICE signal word indicate?,Practices not related to personal injury.
Who is permitted to operate and/or work on this machine?,Only qualified personnel who have been specifically trained on this machine.
What must the operator do with the seat belt at all times?,Wear it.
"What should the operator do with operator aids such as warning lights, horns, or buzzers?","Use them in conjunction with good operating practices, not in place of them."
How often should the operator inspect the operator aids?,Daily.
What should the operator do if any operator aid is not working properly?,Stop all work immediately and report it to a SANY dealer.
"What is the basis for all accident prevention guidelines, operating instructions, etc.?",The intended usage of the machine.
What should the operator do before operating this machine?,Read and understand this manual and any accompanying manuals.
Where must this manual be kept while the machine is in use?,In the cab and readily available to the operator at all times.
Who should be familiar with the safe operating practices stated in this manual?,All personnel in the working area around the machine.
What should the operator review before operating this machine?,"Local, state, and federal regulations and standards regarding this machine and its operation."
What should the operator do with the maintenance log?,Inspect it before the start of each workday shift and ensure routine maintenance has been performed as stated in this manual.
Who should be on the machine while it is in operation?,Only the operator.
What should the operator do with the bucket or work equipment when not in use?,Lower it to the ground.
What should the operator do before excavating?,Ensure all underground utilities have been marked.
What should you do before entering or exiting the machine?,"Make sure the machine is at a complete stop, work equipment is lowered to the ground, engine is shut down, and never jump on or off the machine."
How should you exit or enter the cab?,Only use the provided grab handles and steps.
What should you do when mounting or dismounting the machine?,"Always face the machine, maintain three-point contact with the grab handles, steps, and deck, and wear safety shoes with slip-resistant soles."
What should you avoid when walking on the machine?,"Do not walk on any surface with missing or excessively worn slip-resistant material, and do not step on surfaces not approved for walking or working."
"What should you do with grab handles, steps, and walkway areas?","Keep them clean and clear of mud, oil, grease, or similar debris, and have them repaired or replaced immediately if damaged."
What is the multipurpose construction machine used for primarily?,"It is used for digging or loading, and can also remove ice and snow from road surfaces, and work on slopes and ditching."
What is considered unauthorized use of the machine?,"Transporting people on the machine or in the cab, overloading the machine beyond its capacity, and any other use outside its specified range."
What should you not do with the machine?,Do not perform any unauthorized machine modifications.
What is the escape tool for?,To break the cab window for emergency exit.
How often should you inspect the escape tool?,"Periodically, and replace it if it appears damaged or unable to break the cab window."
"What is the caution related to fuel, oil, and engine coolant?","They are flammable, so keep open flames, airborne sparks, and burning embers away from the machine, and add oil, fuel, or engine coolant in a well-ventilated area."
What should you do in case of an electrical fire?,"Check the wiring on the machine for damage, repair or replace any damaged wiring, and never install aftermarket electrical equipment without approval from a SANY dealer."
Where is the fire extinguisher located?,"In the cab, to the right of the operator seat."
What type of fire extinguisher should you use?,A 2.5 lb. Class ABC rated fire extinguisher (National Fire Protection Association [NFPA] 10 Standard for Portable Fire Extinguishers).
What should you do in case of a fire?,"Immediately press the emergency stop, get clear of the machine, call for help, exit the area, remain clear of the machine until the fire response team gives permission to come near the machine, and use the fire extinguisher only if trained to do so."
What is the warning related to diesel engine exhaust?,"It is known to cause cancer, birth defects, and other reproductive harm, and engine exhaust fumes can cause sickness or death."
What should you do when operating the machine in an enclosed area?,"Use an exhaust pipe extension to vent the exhaust to the outdoors, or open doors and use fans to supply fresh air to the area."
What should you do with safety and warning decals?,"Become familiar with their location and content, read and understand them prior to any operational or maintenance function, and contact a SANY dealer for replacement decals if needed."
What should you do before entering or exiting a SW405K wheel loader?,"You should make sure the machine is at a complete stop, work equipment is lowered to the ground, engine is shut down, and never jump on or off the machine. Always use the provided grab handles and steps, face the machine, and maintain three-point contact with the machine for proper support. Wear slip-resistant safety shoes and keep walking and working surfaces clean and dry."
What are some unauthorized uses of the SW405K wheel loader?,"Unauthorized uses include transporting people on the machine or in the cab, and overloading the machine beyond its capacity."
What type of fire extinguisher should be kept in the SW405K wheel loader cab?,A 2.5 lb. Class ABC fire extinguisher (National Fire Protection Association [NFPA] 10 Standard for Portable Fire Extinguishers) should be kept in the cab.
What should you do if a fire occurs on the SW405K wheel loader?,"Immediately press the emergency stop to shut down the machine, get clear of the machine and call for help, exit the area and remain clear of the machine until the fire response team gives permission to come near the machine, and if using a fire extinguisher, always aim the extinguisher nozzle at the base of the fire."
What safety precautions should be taken regarding the side window of the SW405K wheel loader?,"Keep arms, hands, and body inside the windows and door during operation or travel, never remove the side window of the machine, and if this window becomes damaged or broken, replace it immediately."
What warning is given regarding diesel engine exhaust and its constituents?,"Diesel engine exhaust and some of its constituents are known to the State of California to cause cancer, birth defects, and other reproductive harm."
What should be done regarding safety and warning decals on the SW405K wheel loader?,"All safety and warning decals must be in place, undamaged, and visible. Become familiar with the location and content of all decals on the machine, and contact a SANY dealer for replacement decals if needed."
What precautions should be taken regarding crushing hazards on the SW405K wheel loader?,"Keep arms, hands, and body inside the windows and door during operation or travel, keep all guards in place on the machine, and block off the area where the machine is being operated and keep all unnecessary personnel out of the work area."
What is the role of the escape tool in the SW405K wheel loader?,The escape tool is used for emergency exit from the cab and should be inspected periodically and replaced if damaged or unable to break the cab window.
What safety measures should be taken regarding unauthorized machine modifications on the SW405K wheel loader?,Do not perform any unauthorized machine modifications.
"What safety measures should be taken regarding fuel, oil, and engine coolants on the SW405K wheel loader?","Check the machine daily for debris buildup, keep open flames, airborne sparks, and burning embers away from the machine, shut down the engine and do not smoke when refueling or servicing the machine, add oil, fuel, or engine coolant in a well-ventilated area, and clean up any spilled fluids immediately."
What safety measures should be taken regarding electrical fires on the SW405K wheel loader?,"Check the wiring on the machine for damage when doing a prestart check, make sure the battery is operating in its recommended range, and never install aftermarket electrical equipment without approval from a SANY dealer."
What is the first step to take when mounting or dismounting the machine?,"Always make sure the machine is at a complete stop, work equipment is lowered to the ground, engine is shut down."
How should you enter or exit the cab of the machine?,Only by using the provided grab handles and steps.
What should you always face when mounting and dismounting the machine?,The machine.
"What kind of contact should you maintain with the grab handles, steps, and deck when mounting and dismounting the machine?","Three-point contact (both feet and one hand, or one foot and both hands)."
What kind of shoes should you wear when working with the machine?,Safety shoes with slip-resistant soles.
What should you do if the slip-resistant material on a surface of the machine is missing or excessively worn?,Do not walk on that surface.
What should you keep clean and clear of debris on the machine?,"Grab handles, steps, and walkway areas."
What is the SW405K wheel loader primarily used for?,"Digging or loading, and can also be used for removing ice and snow from road surfaces, and working on slopes and ditching."
What is not allowed when using the machine?,"Transporting people on the machine or in the cab, overloading the machine beyond its capacity, and performing unauthorized machine modifications."
What should you do with the escape tool?,"Inspect it periodically, replace it if it appears damaged or unable to break the cab window for emergency exit, and always keep one in the cab."
What should you check the machine for daily to prevent fires?,Debris buildup.
What should you keep away from the machine to prevent fires?,"Open flames, airborne sparks, and burning embers."
What should you do when refueling or servicing the machine?,Shut down the engine and do not smoke.
What should you do if you notice damaged wiring on the machine?,Repair or replace it.
What kind of fire extinguisher is required on the machine?,A 2.5 lb. Class ABC rated fire extinguisher (National Fire Protection Association [NFPA] 10 Standard for Portable Fire Extinguishers).
What should you do if a fire occurs on the machine?,"Immediately press the emergency stop, get clear of the machine, call for help, and exit the area until the fire response team gives permission to come near the machine."
Where should you aim the fire extinguisher nozzle in case of a fire?,At the base of the fire.
What should you do to prevent crushing hazards on the machine?,"Keep arms, hands, and body inside the windows and door during operation or travel, and keep all guards in place on the machine."
Why is it important to keep diesel engine exhaust vented to the outdoors?,"Because diesel engine exhaust and some of its constituents are known to cause cancer, birth defects, and other reproductive harm."
What should you do with safety and warning decals on the machine?,"Ensure they are in place, undamaged, and visible, and become familiar with their location and content."
What should be done if unsure about the safety of a procedure?,Contact a SANY dealer.
What personal protective equipment (PPE) should be worn?,"Safety shoes, hard hat, gloves, and goggles."
Where should the machine be parked before performing maintenance or repairs?,"On a hard, level surface, with the work equipment lowered, engine shut down, and wheels blocked."
What procedure should be performed before servicing the machine?,Lockout/tagout procedure.
What should be done before disconnecting or removing components of the hydraulic system?,Relieve the system pressure to prevent fluids from spraying out.
What precaution should be taken when checking the machine with the engine running?,Take extreme care to avoid rotating or moving parts.
"When turning the battery disconnect switch off, is electrical power required?",No.
"What should be done if fuel, oil, or fluids leak during maintenance?",Clean up immediately.
How should high-pressure hoses be installed?,"Make sure they are not twisted, and fittings are correctly installed and tightened."
What should be worn when opening a battery compartment?,Personal protective equipment (PPE).
What precautions should be taken when working around batteries?,"Always wear PPE, work in a well-ventilated area, and never use open flames or sparks near the battery."
What should be done if battery acid gets on the skin or in the eyes?,Flush the area immediately with fresh water and seek medical attention.
What order should the battery cables be disconnected?,"Always disconnect the negative (-) cable first, then disconnect the positive (+) cable."
What should be done before checking or adding fluids to the machine?,Be aware that fluid systems may be under pressure and hot.
What precautions should be taken when adding fuel to the machine?,"Shut down the machine before removing the fuel tank cap, refuel only in a well-ventilated area, never smoke or allow open flames nearby while refueling, and do not top off fuel tank."
What should be done to high-pressure fluid lines before performing repairs?,"Never perform repairs to items while any system is under pressure, never use hands to check or feel for leaks, and replace lines and hoses immediately if leaks, swelling, or cracking is found."
What should be done when working with batteries?,"Always work in a well-ventilated area, wear personal protective equipment, and be cautious of battery gases which are extremely explosive."
What is the proper order for disconnecting the battery cables?,"Always disconnect the negative (-) cable first, then disconnect the positive (+) cable."
What should be done before carrying out any repair?,Read all the safety messages on the machine associated with the procedure and wear and use the proper personal protective equipment.
What should be done before performing maintenance or repairs on the machine?,"Park the machine on a hard, level surface, lower the work equipment, shut down the engine, and block the wheels to prevent the machine from moving."
What should be done before servicing the machine?,Always perform the lockout/tagout procedure.
What should be done before working on the cooling and oil systems?,Wait for the cooling and oil systems to cool.
What should be used to clean the machine?,"Always use hot water and mild, nonflammable, grease-cutting soaps or cleaning agents to clean the machine."
